SLIC.compactness,SLIC.n_segments,gauss.k,gauss.pos,hist.pos,max_grain_ratio,nlmeans.h,nlmeans.pos,nlmeans.search,nlmeans.temp,sav.poly,sav.pos,sav.window,file,runs,loss,m_time,sd_time
0.1,2000,1,1,4,5.800000000000001,30,2,38,9,9,3,6,34-c-l-0_ungefaehr_002_slic.pkl,100,0.1998889605272584,2565.1951848864555,1134.6180598907883
0.2,1200,9,3,2,5.3,12,4,48,10,3,1,9,17 3 nach 600 cbs_003_slic.pkl,100,0.3061395126612518,2635.9407182264326,1192.3110614931165
0.1,2200,1,2,3,1.4,15,1,33,12,4,4,32,28-e-l-0_003_slic.pkl,100,0.14658723153868786,2301.1758951735496,1073.3557060739072
0.1,2900,11,0,4,5.5,17,1,48,12,5,2,3,17-1-nach-500-cbs_002_slic.pkl,100,0.17291172216495257,2580.8061306881905,1074.3384087509792
0.1,500,8,3,2,3.5,25,1,40,13,10,4,10,17 1 650 cbs_05_slic.pkl,100,0.235,2232.321620464325,1079.5200244528105
0.1,2100,2,2,4,1.5,6,1,34,18,9,3,35,28-e-p-1_002_slic.pkl,100,0.11031552633746251,2407.6830754995344,1094.7966218510662
0.1,4100,4,3,2,3.6,12,1,39,11,4,4,18,34-b-p-1_ungefaehr_003_slic.pkl,100,0.21419400530355567,2703.9676673793792,1204.466368261663
0.1,1900,2,0,1,3.5,29,4,37,12,11,2,27,34-b-l-0_ungefaehr_003_slic.pkl,100,0.16375708020899937,2326.5279375481605,1136.0984569771697
0.1,1700,2,0,0,6.2,16,4,31,15,4,1,2,17 0 nach 550_002_slic.pkl,100,0.1673498253615449,2442.289634876251,1112.5624093797967
0.1,1700,5,3,1,3.9000000000000004,30,4,35,12,5,2,36,17 1 nach 450 cbs_slic.pkl,100,0.21955749958805817,2566.8233206510545,1093.3910252940943
0.2,400,5,1,4,1.5,20,2,46,13,9,3,22,17 3 650 cbs_11_slic.pkl,100,0.2803304642148745,2395.3453932476045,1193.4915687442372
0.1,4600,3,2,3,4.7,12,1,31,13,11,4,6,17 0 nach 450 cbs_003_slic.pkl,100,0.2017316564868261,2651.70689524889,1235.5009781895808
0.1,2300,13,1,2,1.3,23,0,44,18,1,3,3,28-f-p-1_002_slic.pkl,100,0.15771277805577036,2407.255250942707,1029.7315088975715
0.1,1500,11,0,3,5.3,12,1,40,10,11,2,25,17 1 nach 550_002_slic.pkl,100,0.13089194142702965,2723.129735867977,1292.0742432314576
0.1,3000,6,0,2,4.7,14,3,25,7,11,1,2,34-c-p-2_ungefaehr_001_slic.pkl,100,0.201853112221466,2363.326789677143,1151.7398190807298
0.1,5100,3,1,2,4.1,14,3,23,8,9,4,7,17 3 nach 450 cbs_01_slic.pkl,100,0.23921089643941076,2737.277742283344,1280.6420835971169
0.2,600,1,1,4,5.9,16,3,41,10,8,2,7,17 0 650 cbs 01_002_slic.pkl,100,0.30561386548819225,2387.5081597352028,1106.524074981483
0.1,5200,13,0,3,3.4000000000000004,3,2,44,11,5,1,4,32-pre-hochaufloesung_001_slic.pkl,100,0.1046570460644991,2211.184141020775,1020.0903010197185
0.1,2400,9,2,0,4.4,4,0,40,9,9,4,26,32-pre-hochaufloesung_004_slic.pkl,100,0.2035388167041417,2448.053852386475,1182.070959794871
0.2,1400,1,4,0,3.7,6,3,51,19,8,2,7,17 2 nach 600 cbs_004_slic.pkl,100,0.2882198969155491,2755.4358157777788,1271.2533991727378
0.1,3100,15,0,3,4.6,28,4,36,14,7,1,1,17 3 nach 550_007_slic.pkl,100,0.19898332115090703,2199.957088751793,1013.8048175021769
0.2,1800,3,3,4,3.0,29,0,41,17,10,2,48,28-f-l-0_002_slic.pkl,100,0.15170559672885253,2557.561285097599,1192.3621899094949
0.2,9100,1,0,4,3.7,16,1,34,19,11,2,51,28-run1-c-CBS-p-1-50k_slic.pkl,100,0.20912673892707878,2787.3811805582045,1105.1415863454383
0.1,1700,15,2,4,5.9,26,3,26,17,7,1,20,17 2 nach 550_003_slic.pkl,100,0.21541487411447155,2426.5534841561316,1189.5298978133221
0.2,6000,1,1,3,4.800000000000001,13,4,36,14,5,0,32,17 2 nach 450 cbs_001_slic.pkl,100,0.14721212972813832,2493.6459744119643,1222.12474902991
0.1,3000,6,1,0,3.2,24,2,46,12,8,3,4,17-3-nach-500-cbs_006_slic.pkl,100,0.14369792216010968,2109.996807615757,960.192050188359
0.1,2500,3,3,4,5.800000000000001,9,2,21,11,4,1,20,17-0-nach-500-cbs _004_slic.pkl,100,0.15383317871299654,2420.93907677412,1082.897652471334
0.1,1500,8,0,2,6.9,26,4,50,8,4,1,46,17 0 nach 600 cbs_002_slic.pkl,100,0.22223281533034608,2340.9706229925155,1087.8907588490395
0.30000000000000004,400,11,3,2,1.2,9,1,35,18,10,4,47,17 2 650 cbs_04_slic.pkl,100,0.3310108880231745,2526.4214534282683,1229.0512415478065
0.1,5900,1,0,3,3.1,7,2,25,16,11,1,8,17-2-nach-500-cbs_002_slic.pkl,100,0.13602666678447883,2523.518344697952,1111.5582043387049
0.2,1500,3,3,4,6.2,19,1,24,16,11,2,51,17 1 nach 600 cbs_001_slic.pkl,100,0.20931843699981684,2431.412759025097,1081.1325886505317
