dbscan.color_weight,dbscan.eps,dbscan.min_samples,gauss.k,gauss.pos,hist.pos,max_grain_ratio,nlmeans.h,nlmeans.pos,nlmeans.search,nlmeans.temp,sav.poly,sav.pos,sav.window,file,runs,loss,m_time,sd_time
3.5,2.4000000000000004,6,14,1,4,5.3,20,0,40,19,9,2,7,34-c-l-0_ungefaehr_002.pkl,500,0.1322074915824916,127.51494116783142,69.19625825017097
4.0,2.2,1,2,0,2,6.6000000000000005,21,1,51,10,11,0,48,28-f-p-1_002.pkl,500,0.22050816696914702,130.84645361614227,65.31270347620206
4.0,1.9000000000000001,12,5,2,4,1.6,21,3,44,19,3,1,34,17 2 650 cbs_04.pkl,500,0.11275097392867846,136.72155732440947,73.12540441266272
4.0,2.5,13,15,0,4,6.1000000000000005,9,1,48,11,1,2,49,17 0 nach 550_002.pkl,500,0.18959548104956267,131.9636416296959,69.60910232541269
2.0,0.6,25,1,2,0,2.3,20,3,51,18,10,4,47,28-run1-c-CBS-p-1-50k.pkl,500,0.07832346180305039,124.93231525039673,66.37903426668234
2.0,1.1,3,10,1,4,5.5,24,2,30,9,1,3,31,17 1 nach 450 cbs.pkl,500,0.16337763675511163,134.64607129430772,70.10539331983374
2.5,1.4000000000000001,10,1,1,4,7.0,4,3,40,18,3,2,3,32-pre-hochaufloesung_001.pkl,500,0.28479803136207754,136.75468179893494,74.57845088574179
4.0,2.1,17,13,0,2,2.0,10,1,34,7,2,0,19,17 3 650 cbs_11.pkl,500,0.14066451043810643,132.31735158014297,67.52665822083874
2.5,1.8000000000000003,12,5,1,4,4.1,23,2,26,12,8,0,15,34-c-p-2_ungefaehr_001.pkl,500,0.19502829169050798,121.48547193384171,60.095868614645575
0.5,0.5,29,8,2,4,2.8,18,1,38,7,11,0,30,17 1 nach 550_002.pkl,500,0.2342478395838577,122.72883536958695,63.85706004782981
2.5,1.7000000000000002,6,3,1,4,3.4000000000000004,12,3,30,16,4,2,21,34-b-l-0_ungefaehr_003.pkl,500,0.16889330854482829,126.65598994159699,64.34991440197001
3.5,2.5,5,2,2,4,2.3,10,3,25,16,7,1,10,28-e-p-1_002.pkl,500,0.17281824871228846,123.17364504861831,62.54796991987385
3.0,1.4000000000000001,1,4,2,4,3.0,4,3,46,11,5,1,1,17-3-nach-500-cbs_006.pkl,500,0.2298220587131166,126.34764410591126,68.78089153105135
4.0,2.4000000000000004,19,12,1,4,1.0,28,3,47,7,1,2,14,32-pre-hochaufloesung_004.pkl,500,0.1974921630094044,132.97854257583617,67.44669306800915
4.0,1.8000000000000003,9,1,0,3,4.6,3,2,35,19,1,1,33,34-b-p-1_ungefaehr_003.pkl,500,0.17624042434952203,113.43231663990021,55.828029660114325
2.0,0.4,29,14,2,4,2.3,28,0,49,11,3,1,3,17 0 nach 450 cbs_003.pkl,500,0.21599179296563406,132.48172135210038,66.7564682519955
3.0,1.9000000000000001,6,8,1,4,1.2,12,2,51,15,10,3,11,17 0 650 cbs 01_002.pkl,500,0.1544871794871795,132.23303664684295,67.79751669380028
1.0,0.4,22,5,1,3,1.2,9,4,22,16,8,0,37,28-e-l-0_003.pkl,500,0.18311688311688312,133.20060790348052,73.06639947206584
2.5,1.6,4,10,1,4,3.3000000000000003,10,3,42,16,4,0,51,17 2 nach 600 cbs_004.pkl,500,0.14192442844128236,116.54102472543717,62.066133410655056
3.0,2.2,6,9,0,3,1.7000000000000002,29,0,24,13,6,1,29,17 1 nach 600 cbs_001.pkl,500,0.13837432938556535,127.63275697803498,74.21446092374983
3.5,2.5,21,15,0,1,5.6000000000000005,3,0,41,14,8,0,13,17 1 650 cbs_05.pkl,500,0.16713973799126638,122.08561522006988,62.93075492455089
3.0,1.5000000000000002,4,11,1,4,1.7000000000000002,2,3,34,9,11,2,7,17 3 nach 600 cbs_003.pkl,500,0.17294037544985896,121.01116688394546,62.20266591760264
3.0,0.7000000000000001,30,2,3,2,1.4,18,4,21,11,5,1,8,17 2 nach 450 cbs_001.pkl,500,0.17235980643324794,127.23339716625213,64.40112796418809
2.0,1.5000000000000002,18,8,2,4,3.3000000000000003,2,1,32,19,1,3,50,17 3 nach 550_007.pkl,500,0.24779229954079832,126.07746633195877,63.08048378992141
4.0,2.4000000000000004,17,2,2,3,2.0,15,1,50,10,8,4,8,17 0 nach 600 cbs_002.pkl,500,0.18481717011128776,129.50854595327377,66.19034105376936
0.5,0.4,26,13,1,3,1.6,17,4,35,19,1,2,11,28-f-l-0_002.pkl,500,0.21644981535651414,133.11211210012436,70.57223955103778
0.5,0.4,23,9,2,3,3.1,6,1,27,8,6,4,14,17-0-nach-500-cbs _004.pkl,500,0.18350749659245796,121.57715980958939,61.6822542926513
3.0,2.3000000000000003,16,12,0,3,4.9,21,2,26,10,9,1,51,17-1-nach-500-cbs_002.pkl,500,0.2148823749370011,120.00531278133393,63.34731647447196
3.0,1.7000000000000002,1,8,0,3,5.5,29,1,44,18,6,0,44,17 2 nach 550_003.pkl,500,0.1768962679703761,122.98253039932251,62.72924857149239
2.5,1.9000000000000001,13,15,0,3,5.7,3,1,22,19,7,2,21,17-2-nach-500-cbs_002.pkl,500,0.16452333281995996,131.93992678833007,65.98505103544548
2.5,1.5000000000000002,16,9,3,4,3.7,20,2,30,17,2,1,48,17 3 nach 450 cbs_01.pkl,500,0.15759484180536812,117.51846651887894,60.85017917449601
